"IDENTIFIER","GSM526561","GSM526562","GSM526602","GSM526603","GSM526605","GSM526678"
"Cops7b",6.67353,6.69684,6.77883,6.45413,6.60049,6.57342
"Dis3l2",6.89477,6.92564,6.82513,6.80898,6.91632,6.96586
"Akp3",5.82414,5.76307,5.87589,5.74728,5.82486,5.71664
"Eif4e2",7.08242,7.08736,7.08223,7.18957,7.15053,7.1344
"Efhd1",4.61853,4.42223,4.51006,4.49174,4.32325,4.4495
"Gigyf2",7.59901,7.49201,7.71053,7.58675,7.53753,7.72148
"Neu2",5.13047,5.1683,5.06847,5.22822,5.43796,5.39033
"Inpp5d",5.69916,5.78698,5.90557,5.90231,5.65836,5.83344
"Atg16l1",7.76196,7.76711,7.81731,7.87296,7.85918,7.803
"Sag",4.67143,4.6642,4.58339,4.38775,4.79818,4.52642
"Dgkd",7.18017,6.94032,7.15845,7.15121,7.1968,7.16816
"Ugt1a1",9.88586,9.87739,10.0438,9.85163,9.81671,9.95903
"Trpm8",4.13478,4.12377,4.12377,4.13478,4.02189,4.04533
"Spp2",8.36292,8.35828,8.36175,8.34998,8.3151,8.41673
"Sh3bp4",6.13735,5.86829,6.00877,5.96727,5.89846,5.76162
"Agap1",6.63241,6.71282,6.8108,6.77082,6.80891,6.70882
"Ackr3",4.26323,4.22304,4.59845,4.19012,4.05085,4.18964
"Cops8",7.94916,8.00481,7.95962,7.91837,7.92836,7.91452
"Mlph",5.75664,5.61201,5.65557,5.72722,5.71275,5.79141
"Prlh",6.30459,6.1224,6.27299,6.1913,6.21581,6.12423
"Lrrfip1",6.42021,6.61494,6.45807,6.44549,6.35764,6.45266
"Rbm44",2.8329,3.16152,2.98026,2.82058,2.84244,3.09232
"Ramp1",5.43119,5.7118,5.7151,5.62656,5.69677,5.52493
"Ube2f",7.07691,7.14657,7.00499,6.98664,7.00675,7.13983
"Zfp330",4.31022,4.1595,4.28324,4.32845,4.35907,4.87648
"Scly",8.47731,8.43796,8.38467,8.4583,8.41597,8.70564
"Espnl",6.53543,6.3548,6.37659,6.44556,6.74767,6.30879
"Klhl30",4.58261,4.8261,4.46589,4.81261,4.85251,4.39688
"Fam132b",5.01278,4.77763,4.91763,5.14558,5.06712,4.83459
"Traf3ip1",5.82098,5.97094,6.15232,6.17793,6.0552,5.94103
"Asb1",6.04141,6.04859,6.06363,6.18587,6.24466,5.98322
"Twist2",5.8538,5.51091,5.83406,5.84202,5.64593,5.46073
"Olfr1413",5.23338,5.20979,4.9224,5.20596,5.29421,5.11469
"Olfr1412",4.96148,4.9071,4.87003,5.01828,4.86916,4.67393
"Olfr1411",4.52865,4.5531,4.78774,4.66577,4.86758,4.58699
"Olfr1410",5.90925,5.9258,5.94957,5.88548,5.87644,5.94283
"Olfr12",4.62298,4.69984,4.81422,4.92268,4.84644,4.7793
"Gpr35",5.52213,5.4231,5.49804,5.5867,5.49001,5.33734
"Gpc1",6.7152,6.46638,6.74607,6.63431,6.59701,6.43279
"Mir149",5.96403,5.60084,6.15432,6.17827,6.07154,6.021
"Dusp28",6.41425,6.1084,6.24967,6.45282,6.3316,6.23229
"Rnpepl1",8.19304,8.2364,8.21188,8.21628,8.11744,8.30861
"Capn10",6.71342,6.40265,6.69876,6.54235,6.44792,6.41678
"Aqp12",5.86008,5.8145,5.83433,5.88022,5.74951,5.84322
"Agxt",9.08006,8.9017,8.69804,8.81628,8.32459,8.69302
"Sned1",6.24504,6.10858,6.23118,6.05018,6.24917,6.07242
"Ppp1r7",7.66434,7.73359,7.78926,7.65052,7.65378,7.72699
"Ano7",5.25165,5.02542,5.17483,5.26325,5.47499,5.3287
"Sept2",8.83735,8.79345,8.77623,8.91579,8.7915,8.88393
"Farp2",7.16365,7.39946,7.23005,7.25643,7.26514,7.45998
"Bok",6.93716,6.85967,6.88672,6.92593,6.88989,6.74359
"Thap4",5.16979,5.38345,5.11304,5.05484,4.98315,5.14653
"Atg4b",7.5483,7.66429,7.64472,7.41906,7.50514,7.64929
"Ing5",6.69059,6.52619,6.72044,6.74913,6.60077,6.62896
"D2hgdh",7.1984,7.04092,7.16536,6.93389,7.10349,7.07329
"Gm9994",3.91297,4.12521,3.69329,4.27864,4.15685,3.78744
"Gm9994",3.904,4.2239,3.75416,3.904,4.14459,3.75638
"Gm6086",5.90389,5.9849,6.34992,5.83485,6.02545,6.38429
"Neu4",5.15579,5.14277,5.37893,5.45125,5.1263,4.94999
"Fam174a",6.5171,6.32149,6.59828,6.21044,6.51602,6.37472
"Rpl18a",10.9893,11.0101,11.0851,11.0742,11.122,11.1513
"Hnrnpf",10.1963,10.1449,10.1747,10.1916,10.0918,10.1312
"Gin1",6.94062,7.09658,6.58358,6.80301,6.90662,6.84908
"Slco6d1",2.70118,2.38195,2.5874,2.50605,2.47753,2.59698
"Cntnap5b",3.02556,3.0486,3.15048,3.02926,3.06087,2.99957
